UID,FIPS
84021009,21009
84021011,21011
84021013,21013
84021015,21015
84021017,21017
84021019,21019
84021021,21021
84021023,21023
84021025,21025
84021027,21027
84021029,21029
84021031,21031
84021033,21033
84021035,21035
84021037,21037
84021039,21039
84021041,21041
84021043,21043
84021045,21045
84021047,21047
84021049,21049
84021051,21051
84021053,21053
84021055,21055
84021057,21057
84021059,21059
84021061,21061
84021063,21063
84021065,21065
84021067,21067
84021069,21069
84021071,21071
84021073,21073
84021075,21075
84021077,21077
84021079,21079
84021081,21081
84021083,21083
84021085,21085
84021087,21087
84021089,21089
84021091,21091
84021093,21093
84021095,21095
84021097,21097
84021099,21099
84021101,21101
84021103,21103
84021105,21105
84021107,21107
84021109,21109
84021111,21111
84021113,21113
84021115,21115
84021117,21117
84021119,21119
84021121,21121
84021123,21123
84021125,21125
84021127,21127
84021129,21129
84021131,21131
84021133,21133
84021135,21135
84021137,21137
84021139,21139
84021141,21141
84021143,21143
84021145,21145
84021147,21147
84021149,21149
84021151,21151
84021153,21153
84021155,21155
84021157,21157
84021159,21159
84021161,21161
84021163,21163
84021165,21165
84021167,21167
84021169,21169
84021171,21171
84021173,21173
84021175,21175
84021177,21177
84021179,21179
84021181,21181
84021183,21183
84021185,21185
84021187,21187
84021189,21189
84021191,21191
84021193,21193
84021195,21195
84021197,21197
84021199,21199
84021201,21201
84021203,21203
84021205,21205
84021207,21207
84021209,21209
84021211,21211
84021213,21213
84021215,21215
84021217,21217
84021219,21219
84021221,21221
84021223,21223
84021225,21225
84021227,21227
84021229,21229
84021231,21231
84021233,21233
84021235,21235
84021237,21237
84021239,21239
84022001,22001
84022003,22003
84022005,22005
84022007,22007
84022009,22009
84022011,22011
84022013,22013
84022015,22015
84022017,22017
84022019,22019
84022021,22021
84022023,22023
84022025,22025
84022027,22027
84022029,22029
84022031,22031
84022033,22033
84022035,22035
84022037,22037
84022039,22039
84022041,22041
84022043,22043
84022045,22045
84022047,22047
84022049,22049
84022051,22051
84022053,22053
84022055,22055
84022057,22057
84022059,22059
84022061,22061
84022063,22063
84022065,22065
84022067,22067
84022069,22069
84022071,22071
84022073,22073
84022075,22075
84022077,22077
84022079,22079
84022081,22081
84022083,22083
84022085,22085
84022087,22087
84022089,22089
84022091,22091
84022093,22093
84022095,22095
84022097,22097
84022099,22099
84022101,22101
84022103,22103
84022105,22105
84022107,22107
84022109,22109
84022111,22111
84022113,22113
84022115,22115
